"Query","Match","HMDB","PubChem","ChEBI","KEGG","METLIN","SMILES","Comment"
"HMDB05370","TG(16:0/18:0/20:4(5Z,8Z,11Z,14Z))[iso6]","HMDB05370","9544279",NA,"C00422",NA,"CCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCC)COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC","1"
"HMDB05405","TG(18:0/18:1(9Z)/18:2(9Z,12Z))[iso6]","HMDB05405","9544216",NA,"C00422",NA,"CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCC/C=C\C/C=C\CCCCC)OC(=O)CCCCCCC/C=C\CCCCCCCC","1"
"HMDB05403","TG(18:0/18:1(9Z)/18:1(9Z))[iso3]","HMDB05403","16058372",NA,"C00422","4913","CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCC/C=C\CCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCCCC","1"
"HMDB05395","TG(18:0/18:0/18:1(9Z))[iso3]","HMDB05395","16058371",NA,"C00422","4884","CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCC/C=C\CCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC","1"
"HMDB42466","TG(14:0/22:1(13Z)/18:2(9Z,12Z))","HMDB0042466","131753603",NA,NA,NA,"[H][C@](COC(=O)CCCCCCCCCCCCC)(COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)OC(=O)CCCCCCCCCCC\C=C/CCCCCCCC","1"
"HMDB42226","TG(14:0/22:0/18:2(9Z,12Z))","HMDB0042226","131753368",NA,NA,NA,"[H][C@](COC(=O)CCCCCCCCCCCCC)(COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)OC(=O)CCCCCCCCCCCCCCCCCCCCC","1"
"HMDB05462","TG(18:1(9Z)/18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z))[iso6]","HMDB05462","9544702",NA,"C00422",NA,"CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)OC(=O)CCCCCCC/C=C\C/C=C\CCCCC","1"
"HMDB05456","TG(18:1(9Z)/18:1(9Z)/20:4(5Z,8Z,11Z,14Z))[iso3]","HMDB05456","9544639",NA,"C00422",NA,"CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)OC(=O)CCCCCCC/C=C\CCCCCCCC","1"
"HMDB05398","TG(18:0/18:0/20:4(5Z,8Z,11Z,14Z))[iso3]","HMDB05398","9544519",NA,"C00422",NA,"CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)OC(=O)CCCCCCCCCCCCCCCCC","1"
"HMDB05410","TG(18:0/18:2(9Z,12Z)/20:1(11Z))[iso6]","HMDB05410","25240377",NA,"C00422",NA,"CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCC/C=C\CCCCCCCC)OC(=O)CCCCCCC/C=C\C/C=C\CCCCC","1"
"HMDB05404","TG(18:0/18:1(9Z)/20:1(11Z))[iso6]","HMDB05404","25240375",NA,"C00422",NA,"CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCC/C=C\CCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCCCC","1"
"HMDB05396","TG(18:0/18:0/20:1(11Z))[iso3]","HMDB05396","9544351",NA,"C00422",NA,"CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCC/C=C\CCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC","1"
"HMDB05476","TG(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z))[iso3]","HMDB05476","9545277",NA,"C00422",NA,"CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC[C@H](COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC","1"
"HMDB00067","Cholesterol","HMDB0000067","5997","1307929","C00187","163","C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CCC(C4)O)C)C","1"
"HMDB29377","Piperine","HMDB0029377","638024","28821","C03882",NA,"O=C(\C=C\C=C\C1=CC2=C(OCO2)C=C1)N1CCCCC1","1"
"redundant ion","NA","NA","NA","NA","NA","NA","NA","0"
"HMDB02123","1,3,7-Trimethyluric acid","HMDB0002123","79437","691622","C16361",NA,"CN1C(=O)NC2=C1C(=O)N(C)C(=O)N2C","1"
"HMDB00510","Aminoadipic acid","HMDB0000510","469","37024","C00956","5496","NC(CCCC(=O)O)C(=O)O","1"
"HMDB00452","L-Alpha-aminobutyric acid","HMDB0000452","80283","35619","C02356","12","CC[C@@H](C(=O)O)N","1"
"HMDB00407","2-hydroxy-3-methyl-butyric acid","HMDB00407","853180","60631",NA,NA,"CC(C)(O)C(=O)O","1"
"HMDB00317","2-Hydroxy-3-methylpentanoic acid","HMDB0000317","10796774","89228",NA,"5306","CC[C@@H](C)[C@H](C(=O)O)O","1"
"HMDB59655","2-hydroxyglutaric acid","HMDB0059655","43","17084","C02630",NA,"OC(CCC(O)=O)C(O)=O","1"
"HMDB00355","3-hydroxymethyl-glutaric acid","HMDB00355","10329583","138367",NA,NA,"O=C(O)CC(CO)CC(=O)O","1"
"HMDB00555","3-methyl-adipic acid","HMDB00555","12292","68503",NA,NA,"CC(CCC(=O)O)CC(=O)O","1"
"HMDB00522","3-Methylglutaconic acid","HMDB0000522","1551553","37245",NA,"5507","C/C(=C\C(=O)O)/CC(=O)O","1"
"HMDB11718","4-Hydroxybenzaldehyde","HMDB0011718","126","17597","C00633",NA,"OC1=CC=C(C=O)C=C1","1"
"HMDB29757","4-Hydroxybenzeneacetonitrile","HMDB0029757","26548","16667","C03766",NA,"OC1=CC=C(CC#N)C=C1","1"
"HMDB00873","4-Methylcatechol","HMDB0000873","9958","17254","C06730","5834","CC1=CC(O)=C(O)C=C1","1"
"HMDB01232","4-Nitrophenol","HMDB0001232","980","16836","C00870","4100","OC1=CC=C(C=C1)[N+]([O-])=O","1"
"HMDB00017","4-Pyridoxic acid","HMDB0000017","6723","17405","C00847","239","CC1=NC=C(CO)C(C(O)=O)=C1O","1"
"HMDB04400","5-Acetylamino-6-amino-3-methyluracil","HMDB0004400","88299",NA,"C16366",NA,"CN1C(=O)NC(N)=C(NC(C)=O)C1=O","1"
"HMDB00529","5E-dodecenoic acid","HMDB00529","5312377",NA,NA,NA,"CCCCCC/C=C/CCCC(=O)O","1"
"HMDB00766","N-Acetyl-L-alanine","HMDB0000766","88064","40992",NA,"5733","C[C@H](NC(C)=O)C(O)=O","1"
"HMDB00034","Adenine","HMDB0000034","190","16708","C00147","85","NC1=C2NC=NC2=NC=N1","1"
"HMDB00448","Adipic acid","HMDB0000448","196","30832","C06104","115","C(CCC(=O)O)CC(=O)O","1"
"HMDB00161","L-Alanine","HMDB0000161","5950","16977","C00041",NA,"C[C@H](N)C(O)=O","1"
"HMDB00126","Glycerol 3-phosphate","HMDB0000126","439162","15978","C00093","5161","C([C@H](COP(=O)(O)O)O)O","1"
"HMDB62781","NA","NA","NA","NA","NA","NA","NA","0"
"HMDB00019","Alpha-ketoisovaleric acid","HMDB0000019","49","16530","C00141","5091","CC(C)C(=O)C(=O)O","1"
"HMDB00517","L-Arginine","HMDB0000517","6322","16467","C00062","5502","N[C@@H](CCCNC(N)=N)C(O)=O","1"
"HMDB00044","Ascorbic acid","HMDB0000044","54670067","29073","C01041","3753","[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO","1"
"HMDB00168","L-Asparagine","HMDB0000168","6267","17196","C00152","14","N[C@@H](CC(N)=O)C(O)=O","1"
"HMDB00191","L-Aspartic acid","HMDB0000191","5960","17053","C00049","5206","N[C@@H](CC(O)=O)C(O)=O","1"
"HMDB00039","Butyric acid","HMDB0000039","264","30772","C00246","107","CCCC(=O)O","1"
"HMDB00482","Caprylic acid","HMDB0000482","379","28837","C06423","5469","CCCCCCCC(=O)O","1"
"HMDB11621","Cinnamoylglycine","HMDB0011621","709625","68616",NA,NA,"OC(=O)CNC(=O)\C=C\C1=CC=CC=C1","1"
"HMDB00094","Citric acid","HMDB0000094","311","30769","C00158","124","OC(=O)CC(O)(CC(O)=O)C(O)=O","1"
"HMDB00904","Citrulline","HMDB0000904","9750","16349","C00327","16","N[C@@H](CCCNC(N)=O)C(O)=O","1"
"HMDB01547","Corticosterone","HMDB0001547","5753","16827","C02140","6314","C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@H]4C(=O)CO)C)O","1"
"HMDB00192","L-Cystine","HMDB0000192","67678","16283","C00491","5207","N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O","1"
"HMDB01202","dCMP","HMDB0001202","13945","15918","C00239","6078","NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](COP(O)(O)=O)O1","1"
"HMDB01370","meso-2,6-Diaminoheptanedioate","HMDB0001370","99290","16488 30308","C00666","352","N[C@@H](CCC[C@H](N)C(O)=O)C(O)=O","1"
"HMDB03349","L-Dihydroorotic acid","HMDB0003349","439216","17025","C00337","6899","OC(=O)[C@@H]1CC(=O)NC(=O)N1","1"
"HMDB01227","5-Thymidylic acid","HMDB0001227","9700","17013","C00364","6092","CC1=CN([C@H]2C[C@H](O)[C@@H](COP(O)(O)=O)O2)C(=O)NC1=O","1"
"HMDB00365","TG(14:0/i-19:0/i-24:0)","HMDB0100365","131808527",NA,NA,NA,"[H][C@](COC(=O)CCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCC(C)C","1"
"HMDB00613","Erythronic acid","HMDB0000613","2781043","37655",NA,"5586","OC[C@@H](O)[C@@H](O)C(O)=O","1"
"HMDB10325","Ethyl glucuronide","HMDB0010325","18392195","87248",NA,NA,"CCO[C@@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)C(O)=O","1"
"HMDB00122","D-Glucose","HMDB0000122","5793","4167","C00221","133","OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O","1"
"HMDB00174","L-Fucose","HMDB0000174","25310","62346","C01019","5812","C[C@H]1[C@H]([C@H]([C@@H](C(O1)O)O)O)O","1"
"HMDB00134","Fumaric acid","HMDB0000134","444972","18012","C00122","3242","OC(=O)\C=C\C(O)=O","1"
"HMDB15371","Gemfibrozil","HMDB0015371","3463","5296","C07020",NA,"CC1=CC(OCCCC(C)(C)C(O)=O)=C(C)C=C1","1"
"HMDB00152","Gentisic acid","HMDB0000152","3469","17189","C00628","618","OC(=O)C1=C(O)C=CC(O)=C1","1"
"HMDB03339","D-Glutamic acid","HMDB0003339","23327","15966","C00217","6895","N[C@H](CCC(O)=O)C(O)=O","1"
